icsbfm,Answer,2006,2018
Betr. Frauen,Stark ablehnen,0.0862616848760093,0.09016393442622951
Betr. Frauen,Ablehnen,0.4898949135924901,0.3524590163934426
Betr. Frauen,Indifferent,0.31824130994573824,0.2896174863387978
Betr. Frauen,Befürworten,0.08250246516371504,0.16666666666666666
Betr. Frauen,Stark befürworten,0.023099626422047295,0.10109289617486339
Betr. Männer,Stark ablehnen,0.027453060018288542,0.03116883116883117
Betr. Männer,Ablehnen,0.1116489819570214,0.12207792207792208
Betr. Männer,Indifferent,0.3357291255310277,0.32727272727272727
Betr. Männer,Befürworten,0.33619527831661267,0.36363636363636365
Betr. Männer,Stark befürworten,0.1889735541770497,0.15584415584415584
