icsbfm,Answer,2006,2018
Betr. Frauen,Stark ablehnen,0.021741765380198258,0.014341590612777053
Betr. Frauen,Ablehnen,0.08174836457222595,0.04041720990873533
Betr. Frauen,Indifferent,0.5289168782328393,0.3546284224250326
Betr. Frauen,Befürworten,0.24733346170388515,0.3050847457627119
Betr. Frauen,Stark befürworten,0.12025953011085139,0.28552803129074317
Betr. Männer,Stark ablehnen,0.024369317975756616,0.015748031496062992
Betr. Männer,Ablehnen,0.06500589600150512,0.06167979002624672
Betr. Männer,Indifferent,0.5243266545628549,0.39501312335958005
Betr. Männer,Befürworten,0.29040685872753175,0.3241469816272966
Betr. Männer,Stark befürworten,0.09589127273235157,0.20341207349081364
