icsbfm,Answer,2006,2018
Betr. Frauen,Stark ablehnen,0.04224117915167299,0.015789473684210527
Betr. Frauen,Ablehnen,0.11425670528170519,0.04868421052631579
Betr. Frauen,Indifferent,0.5633574768724648,0.44342105263157894
Betr. Frauen,Befürworten,0.2068438874287751,0.26973684210526316
Betr. Frauen,Stark befürworten,0.07330075126538194,0.22236842105263158
Betr. Männer,Stark ablehnen,0.03802339686342091,0.02774108322324967
Betr. Männer,Ablehnen,0.12795427590579672,0.09247027741083223
Betr. Männer,Indifferent,0.6221051774893768,0.5085865257595773
Betr. Männer,Befürworten,0.1574285974999862,0.2285336856010568
Betr. Männer,Stark befürworten,0.05448855224141943,0.142668428005284
